INDEX,OFNS_DESC,Latitude,Longitude,CMPLNT_FR_TM
5309949,MURDER & NON-NEGL. MANSLAUGHTER,40.845984791,-73.907462791,05:05:00
5309950,MURDER & NON-NEGL. MANSLAUGHTER,40.845984791,-73.907462791,05:05:00
5310007,MURDER & NON-NEGL. MANSLAUGHTER,40.870142434,-73.869305409,02:44:00
5312814,MURDER & NON-NEGL. MANSLAUGHTER,40.831578538,-73.927697229,01:45:00
5313479,MURDER & NON-NEGL. MANSLAUGHTER,40.618091468,-74.027852316,19:19:00
5315465,MURDER & NON-NEGL. MANSLAUGHTER,40.839739531,-73.913178032,06:00:00
5315622,MURDER & NON-NEGL. MANSLAUGHTER,40.695140908,-73.975125947,00:02:00
5316972,MURDER & NON-NEGL. MANSLAUGHTER,40.689111202,-73.945058895,01:25:00
5317605,MURDER & NON-NEGL. MANSLAUGHTER,40.819856355,-73.920140835,23:53:00
5317712,MURDER & NON-NEGL. MANSLAUGHTER,40.67500776,-74.006577149,20:17:00
5319567,MURDER & NON-NEGL. MANSLAUGHTER,40.672789843,-73.773651622,12:12:00
5321139,MURDER & NON-NEGL. MANSLAUGHTER,40.764694063,-73.914348014,04:11:00
5321217,MURDER & NON-NEGL. MANSLAUGHTER,40.651998977,-73.944869621,02:17:00
5322481,MURDER & NON-NEGL. MANSLAUGHTER,40.815720251,-73.864502585,02:17:00
5323846,MURDER & NON-NEGL. MANSLAUGHTER,40.682140409,-73.826891092,00:14:00
5330709,MURDER & NON-NEGL. MANSLAUGHTER,40.680536156,-73.957086365,00:40:00
5331821,MURDER & NON-NEGL. MANSLAUGHTER,40.88443116,-73.833004197,02:11:00
5337086,MURDER & NON-NEGL. MANSLAUGHTER,40.801063787,-73.950481913,02:05:00
5338171,MURDER & NON-NEGL. MANSLAUGHTER,40.682807656,-73.767816313,14:40:00
5338479,MURDER & NON-NEGL. MANSLAUGHTER,40.842271968,-73.905032007,02:53:00
5338612,MURDER & NON-NEGL. MANSLAUGHTER,40.676152237,-73.893068674,00:06:00
5339175,MURDER & NON-NEGL. MANSLAUGHTER,40.691103257,-73.912877554,17:00:00
5339198,MURDER & NON-NEGL. MANSLAUGHTER,40.814000554,-73.900780541,16:40:00
5342914,MURDER & NON-NEGL. MANSLAUGHTER,40.620759553,-74.010548599,19:02:00
5343560,MURDER & NON-NEGL. MANSLAUGHTER,40.670869804,-73.86317105,02:27:00
5344202,MURDER & NON-NEGL. MANSLAUGHTER,40.675727746,-73.921495901,22:48:00
5344247,MURDER & NON-NEGL. MANSLAUGHTER,40.66357893,-73.896646458,21:45:00
5344261,MURDER & NON-NEGL. MANSLAUGHTER,40.850660187,-73.908920209,21:17:00
5349168,MURDER & NON-NEGL. MANSLAUGHTER,40.669788059,-73.958293685,08:15:00
5349472,MURDER & NON-NEGL. MANSLAUGHTER,40.709186497,-73.819156071,00:01:00
5352483,MURDER & NON-NEGL. MANSLAUGHTER,40.81725838,-73.940404581,23:17:00
5352500,MURDER & NON-NEGL. MANSLAUGHTER,40.671025464,-73.906195082,22:48:00
5352811,MURDER & NON-NEGL. MANSLAUGHTER,40.872596004,-73.825563635,16:42:00
5357323,MURDER & NON-NEGL. MANSLAUGHTER,40.827871665,-73.864958422,16:52:00
5358646,MURDER & NON-NEGL. MANSLAUGHTER,40.860655553,-73.895006204,18:25:00
5358807,MURDER & NON-NEGL. MANSLAUGHTER,40.680494853,-73.867095611,14:26:00
5360368,MURDER & NON-NEGL. MANSLAUGHTER,40.825100443,-73.89485635,03:27:00
5360896,MURDER & NON-NEGL. MANSLAUGHTER,40.847277155,-73.910442906,23:18:00
5363838,MURDER & NON-NEGL. MANSLAUGHTER,40.666231521,-73.922538001,22:27:00
5364058,MURDER & NON-NEGL. MANSLAUGHTER,40.69969571,-73.981691569,18:21:00
5364072,MURDER & NON-NEGL. MANSLAUGHTER,40.786006915,-73.845738305,18:12:00
5364099,MURDER & NON-NEGL. MANSLAUGHTER,40.680096472,-73.912556632,17:54:00
5364605,MURDER & NON-NEGL. MANSLAUGHTER,40.886052491,-73.8614443,06:40:00
5368488,MURDER & NON-NEGL. MANSLAUGHTER,40.745435546,-73.864353209,19:15:00
5369066,MURDER & NON-NEGL. MANSLAUGHTER,40.671411663,-73.881511724,02:58:00
5369514,MURDER & NON-NEGL. MANSLAUGHTER,40.820261474,-73.897877215,23:35:00
5369545,MURDER & NON-NEGL. MANSLAUGHTER,40.816805565,-73.907261306,22:15:00
5369578,MURDER & NON-NEGL. MANSLAUGHTER,40.846741539,-73.906482233,21:39:00
5375121,MURDER & NON-NEGL. MANSLAUGHTER,40.684998931,-73.93844593,21:04:00
5376544,MURDER & NON-NEGL. MANSLAUGHTER,40.693065804,-73.999543473,21:34:00
5378599,MURDER & NON-NEGL. MANSLAUGHTER,40.670206898,-73.923942878,04:48:00
5378807,MURDER & NON-NEGL. MANSLAUGHTER,40.679670066,-73.936136211,00:36:00
5379790,MURDER & NON-NEGL. MANSLAUGHTER,40.708909009,-73.965804097,05:50:00
5381279,MURDER & NON-NEGL. MANSLAUGHTER,40.722273155,-73.976342426,01:52:00
5383366,MURDER & NON-NEGL. MANSLAUGHTER,40.696493892,-73.949430815,22:38:00
5385134,MURDER & NON-NEGL. MANSLAUGHTER,40.637804468,-73.942377197,17:56:00
5385751,MURDER & NON-NEGL. MANSLAUGHTER,40.670667775,-73.93233809,01:39:00
5386523,MURDER & NON-NEGL. MANSLAUGHTER,40.854120099,-73.888809888,21:44:00
5388153,MURDER & NON-NEGL. MANSLAUGHTER,40.638614237,-73.948267625,10:16:00
5388428,MURDER & NON-NEGL. MANSLAUGHTER,40.852841995,-73.88417431,01:29:00
5389420,MURDER & NON-NEGL. MANSLAUGHTER,40.685650526,-73.980487523,06:58:00
5390796,MURDER & NON-NEGL. MANSLAUGHTER,40.887313634,-73.847271758,05:30:00
5391484,MURDER & NON-NEGL. MANSLAUGHTER,40.829363293,-73.919045385,21:50:00
5392238,MURDER & NON-NEGL. MANSLAUGHTER,40.605163421,-73.754847799,04:10:00
5392923,MURDER & NON-NEGL. MANSLAUGHTER,40.734983188,-73.988054214,22:15:00
